lname,fname,handle_part,state,district,X115.St.Dis,Party,Replaced,stateabb,dist
Blunt Rochester,Lisa,RepBRochester,Delaware,NA,DE00,D,,DE,0
Brady,Kevin,RepKevinBrady,,NA,TX08,R,,TX,8
Brat,Dave,RepDaveBrat,,NA,VA07,R,,VA,7
Brooks,Mo,RepMoBrooks,,NA,AL05,R,,AL,5
Brooks,Susan,SusanWBrooks,,NA,IN05,R,,IN,5
Brown,Anthony,AnthonyBrownMD,,NA,MD04,D,,MD,4
Brownley,Julia,JuliaBrownley,,NA,CA26,D,,CA,26
Buchanan,Vern,VernBuchanan,,NA,FL16,R,,FL,16
Buck,Ken,RepKenBuck,,NA,CO04,R,,CO,4
Bucshon,Larry,RepLarryBucshon,,NA,IN08,R,,IN,8
Budd,Ted,RepTedBudd,,NA,NC13,R,,NC,13
Calvert,Ken,KenCalvert,,NA,CA42,R,,CA,42
Capuano,Michael,RepMikeCapuano,,NA,MA07,D,,MA,7
Carson,André,RepAndreCarson,,NA,IN07,D,,IN,7
Castor,Kathy,USRepKCastor,,NA,FL14,D,,FL,14
Castro,Joaquin,JoaquinCastrotx,,NA,TX20,D,,TX,20
Chabot,Steve,RepSteveChabot,,NA,OH01,R,,OH,1
Cheney,Liz,RepLizCheney,,NA,WY00,R,,WY,0
Chu,Judy,RepJudyChu,,NA,CA27,D,,CA,27
Cicilline,David,RepCicilline,Rhode Island,NA,RI01,D,,RI,1
Clarke,Yvette,RepYvetteClarke,,NA,NY09,D,,NY,9
Coffman,Mike,RepMikeCoffman,,NA,CO06,R,,CO,6
Cole,Tom,TomColeOK,,NA,OK04,R,,OK,4
Collins,Chris,RepChrisCollins,,NA,NY27,R,,NY,27
Collins,Doug,RepDougCollins,,NA,GA09,R,,GA,9
Connolly,Gerald,GerryConnolly,,NA,VA11,D,,VA,11
Cook,Paul,RepPaulCook,,NA,CA08,R,,CA,8
Cooper,Jim,repjimcooper,,NA,TN05,D,,TN,5
Costa,Jim,RepJimCosta,,NA,CA16,D,,CA,16
Costello,Ryan,RepRyanCostello,,NA,PA06,R,,PA,6
Courtney,Joe,RepJoeCourtney,,NA,CT02,D,,CT,2
Cramer,Kevin,RepKevinCramer,,NA,ND00,R,,ND,0
Crawford,Eric,RepRickCrawford,,NA,AR01,R,,AR,1
Crist,Charlie,RepCharlieCrist,,NA,FL13,D,,FL,13
Crowley,Joseph,repjoecrowley,,NA,NY14,D,,NY,14
