,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1334,5/4/2017,Man Who Disfigured Gay Couple With Boiling Water Received 40 Years in Prison,The Ring of Fire Network,Pensacola,FL,https://trofire.com/2017/05/04/man-disfigured-gay-couple-boiling-water-received-40-years-prison/,,,,,,,,,,,,,,,Duplicate story
1335,5/4/2017,Social Tensions Rise In The US As Hate Crimes Continue,GoozerNation,,,http://goozernation.com/social-tensions-rise-in-the-u-s-as-hate-crimes-continue-1328.html,,,,,,,,,,,,,,,Url broken
1336,5/4/2017,"Anti-Trump Church Organist Arrested for Defacing Church With 'Heil Trump', Swastika Graffiti",Heat Street,,,https://heatst.com/culture-wars/church-organist-painted-heil-trump-and-gay-slur-to-mobilize-a-movement-after-trumps-victory/,,,,,,,,,,,,,,,Duplicate story
1337,5/4/2017,Mistrial declared in NY beating death of immigrant,Wisconsin Gazette,Milwaukee,Wisconsin,http://www.wisconsingazette.com/news/mistrial-declared-in-ny-beating-death-of-immigrant/article_3701e8b1-8b5d-5628-8fed-eabb71c9dc4b.html,0,na,na,na,na,na,na,na,na,na,na,na,Not charged with hate crime,na,
1338,5/4/2017,"Idaho man to spend 28 years behind bars for tricking gay man into meeting, then delivering fatal beating",northiowatoday.com,Thornton,IA,http://northiowatoday.com/2017/05/04/idaho-man-to-spend-28-years-behind-bars-for-tricking-gay-man-into-meeting-then-delivering-fatal-beating/,,,,,,,,,,,,,,,Duplicate story
1339,5/4/2017,"San Diego Shooter Reportedly Told White Pool Guest, 'You Can Either Leave Or You Can Stay Here and Die'",BET,Washington,DC,http://www.bet.com/news/national/2017/05/04/san-diego-shooter-reportedly-told-white-pool-guest--you-can-eith.html,,,,,,,,,,,,,,,Duplicate story
1340,5/4/2017,Hate Crime Report released by the TBI,thunder1320.com,Tullahoma,TN,http://www.thunder1320.com/news/hate-crime-report-released-by-the-tbi/,,,,,,,,,,,,,,,Duplicate story
1341,5/4/2017,Black members of Congress demand probe of nooses at AU,Thegardenisland.com,Lihue,HI,http://thegardenisland.com/news/national/govt-and-politics/black-members-of-congress-demand-probe-of-nooses-at-au/article_6ae16b0b-313b-5935-93de-665a7002519b.html,,,,,,,,,,,,,,,Url broken
1342,5/4/2017,"Hate Crimes, Gang Crimes",KSAL,Salina,KS,http://www.ksal.com/hate-crimes-gang-crimes/,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1343,5/4/2017,"AU student leaders, school officials work to unify following hate crime incident",FOX 5 DC,,,http://www.fox5dc.com/news/local-news/252750756-story,,,,,,,,,,,,,,,Duplicate story
1344,5/4/2017,Oak Lawn businesses start hate crime awareness campaign,KHOU,Houston,TX,http://www.khou.com/news/local/texas/oak-lawn-businesses-start-hate-crime-awareness-campaign-1/437023425,0,na,na,na,na,na,na,na,na,na,na,na,Condemnation,na,
1345,5/4/2017,TBI releases 2016 hate crime report,WPSD Local 6,Paducah,KY,http://www.wpsdlocal6.com/story/35348947/tbi-releases-2016-hate-crime-report,,,,,,,,,,,,,,,Duplicate story
1346,5/5/2017,"Gay Leftist Faked Trump Anti-Gay Hate Crime to ""Mobilize a Movement""",FrontPage Magazine,Los Angeles,CA,http://www.frontpagemag.com/point/266619/gay-leftist-faked-trump-anti-gay-hate-crime-daniel-greenfield,,,,,,,,,,,,,,,Url broken
1347,5/5/2017,"TBI Releases Annual Reports on Hate Crime, Violence Against Law Enforcement Officers",hobnobknoxville.com,Knoxville,TN,http://hobnobknoxville.com/news-crime/tbi-releases-annual-reports-on-hate-crime-violence-against-law-enforcement-officers/,,,,,,,,,,,,,,,Duplicate story
1348,5/5/2017,Let Faith Guide Your Advocacy,U.S. News & World Report,Washington,DC,https://www.usnews.com/opinion/civil-wars/articles/2017-05-05/3-ways-faith-can-can-guide-your-advocacy,0,na,na,na,na,na,na,na,na,na,na,na,Opinion piece,na,
1349,5/5/2017,American University: White supremacist threatened student government president in post,FOX 5 DC,,,http://www.fox5dc.com/news/local-news/252885775-story,0,na,na,na,na,na,na,na,na,na,na,na,News story,na,
1350,5/5/2017,Isla Vista man accused in Santa Barbara County hate crime - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/35354575/man-identified-in-santa-barbara-county-hate-crime,,,,,,,,,,,,,,,Duplicate story
1351,5/5/2017,Man suspected in 16 anti-gay graffiti incidents is caught on camera: NYPD,TimesLedger,Bayside,New York,http://www.timesledger.com/stories/2017/19/graffitivid_2017_05_12_q.html,,,,,,,,,,,,,,,Duplicate story
1352,5/5/2017,Man arrested for alleged hate crime of Santa Paula resident,Ventura County Star,Camarillo,CA,http://www.vcstar.com/story/news/local/communities/santa-paula/2017/05/05/man-arrested-alleged-hate-crime-santa-paula-resident/101331264/,,,,,,,,,,,,,,,Duplicate story
