Incident number,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
1,2/13/2017,Pizza Hut driver who killed co-worker with shotgun found mentally competent,LGBTQ Nation,Phoenix,AZ,http://www.lgbtqnation.com/2017/02/man-accused-killing-co-worker-hate-crime-stands-trial/,1,0,13,7,2014,1,1,1,1,LGBT,Mecca,California,murder,4,
2,2/13/2017,Residents of NJ township receiving KKK promotional fliers,New York Daily News,,,http://www.nydailynews.com/news/national/residents-nj-township-receiving-kkk-promotional-fliers-article-1.2971317,1,1,13,2,2017,0,na,more than 1,0,"race, LGBT",Cinnaminson,New Jersey,hate mail,2,
3,2/13/2017,House OKs bill to expand Kentucky's hate crimes law,FOX19,Cincinnati,OH,http://www.fox19.com/story/34494432/house-oks-bill-to-expand-kentuckys-hate-crimes-law,0,na,na,na,na,na,na,na,na,na,na,na,bill,na,
4,2/13/2017,"Amid Protests, 'Blue Lives Matter' Bill Passes Kentucky House",89.3 WFPL,Louisville,KY,http://wfpl.org/amid-protests-blue-lives-matter-bill-passes-state-house/,0,na,na,na,na,na,na,na,na,na,na,na,bill,na,
5,2/13/2017,Lafourche inmates charged with hate crimes in jail attack,Daily Comet,Thibodaux,LA,http://www.dailycomet.com/news/20170213/lafourche-inmates-charged-with-hate-crimes-in-jail-attack,1,1,8,2,2017,1,more than 1,2,0,race,Lafourche Parish,Louisiana,prison fight,3,
6,2/14/2017,Police: Davis hate crime suspect had 'aspirations' to kill,Davis Enterprise,Davis,CA,http://www.davisenterprise.com/local-news/crime-fire-courts/arrest-made-in-davis-mosque-vandalism/,,,,,,,,,,,,,,,
7,2/14/2017,"Fowler's 'Blue Lives Matter' bill is great tribute to our protectors, but...",Harrisburg Daily Register,Harrisburg,IL,http://www.dailyregister.com/news/20170214/fowlers-blue-lives-matter-bill-is-great-tribute-to-our-protectors-but,,,,,,,,,,,,,,,
8,2/14/2017,Arrest made after bacon strips left at California mosque,GoDanRiver.com,Danville,VA,http://www.godanriver.com/news/national/wire/arrest-made-after-bacon-strips-left-at-california-mosque/article_328bd862-8ba1-5277-91ad-8a9332604cd8.html,,,,,,,,,,,,,,,
9,2/14/2017,Arrest made after bacon strips left at California mosque - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34505277/arrest-made-after-bacon-strips-left-at-california-mosque,,,,,,,,,,,,,,,
10,2/14/2017,Report: San Diego violent crime rates lowest in decades,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/commentary/2017/02/14/report-san-diego-violent-crime-rates-lowest-decades,,,,,,,,,,,,,,,
11,2/14/2017,Blue Lives Matter Bills Would Make Targeting First Responders a Hate Crime,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/blue-lives-matter-bills-would-make-targeting-first-responders-a-hate-crime/656154788,,,,,,,,,,,,,,,
12,2/15/2017,Reports Of 'Hate Crime' Are Exaggerated By Those Who Oppose Brexit,Heat Street,,,http://heatst.com/life/reports-of-hate-crime-are-exaggerated-by-those-who-oppose-brexit/,,,,,,,,,,,,,,,
13,2/15/2017,New bias crime dashboard shows increase in reports of Seattle hate violence,CHS Capitol Hill Seattle,Seattle,WA,http://www.capitolhillseattle.com/2017/02/new-bias-crime-dashboard/,,,,,,,,,,,,,,,
14,2/15/2017,Tulsa man charged in neighbor's killing to plead insanity,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Tulsa-man-charged-in-neighbor-s-killing-to-plead-10934830.php,,,,,,,,,,,,,,,
15,2/15/2017,SPLC says number of anti-Muslim hate groups on the rise,Joplin Globe,Joplin,MO,http://www.joplinglobe.com/region/splc-says-number-of-anti-muslim-hate-groups-on-the/article_0e4cc7dc-cf41-5091-b5ac-b9c7a6f38e71.html,,,,,,,,,,,,,,,
16,2/15/2017,Watchdog: Number of anti-Muslim hate groups on the rise,Fairfield Citizen,Fairfield,Connecticut,http://www.fairfieldcitizenonline.com/news/crime/article/Watchdog-Number-of-anti-Muslim-hate-groups-on-10936714.php,,,,,,,,,,,,,,,
17,2/15/2017,Police investigate anti-Muslim flier at Louisiana mosque,Greensboro News & Record,Greensboro,NC,http://www.greensboro.com/ap/us_world/police-investigate-anti-muslim-flier-at-louisiana-mosque/article_ba2926cc-ab13-5b08-b5d0-4b321f85a011.html,,,,,,,,,,,,,,,
18,2/15/2017,Details Paint a Grim Picture in the Hate Crime Case,The People’s Vanguard of Davis,,,http://www.davisvanguard.org/2017/02/details-paint-grim-picture-hate-crime-case/,,,,,,,,,,,,,,,
19,2/15/2017,Woman Facing Hate Crime Charges In Attack On Davis Mosque,CBS Local,New York,New York,http://sanfrancisco.cbslocal.com/2017/02/15/davis-mosque-hate-crime-arrest-lauren-kirk-coehlo/,,,,,,,,,,,,,,,
20,2/15/2017,Authorities: Davis Mosque Vandalism Suspect 'Immediate Danger' to Public,FOX40,Sacramento,CA,http://fox40.com/2017/02/15/authorities-davis-mosque-vandalism-suspect-immediate-danger-to-public/,,,,,,,,,,,,,,,
21,2/16/2017,FBI Investigating Hate Crime at UMW,Fredericksburg Today,,,https://fredericksburg.today/fbi-investigating-hate-crime-at-umw,,,,,,,,,,,,,,,
22,2/17/2017,Teach NYS Calls for Increased Security Funding in Wake of Rising Hate Crimes,Yeshiva World News,New York,NY,http://www.theyeshivaworld.com/news/headlines-breaking-stories/527235/teach-nys-calls-for-increased-security-funding-in-wake-of-rising-hate-crimes.html,,,,,,,,,,,,,,,
23,2/17/2017,Senate amendment would add LGBT to state hate crime law,City Pulse,Lansing,MI,http://lansingcitypulse.com/article-permalink-14403.html,,,,,,,,,,,,,,,
24,2/17/2017,Hate Crime Suspect Arrested After Vandalizing a Mosque With Bacon,The Daily Meal,New York,NY,http://www.thedailymeal.com/news/eat/hate-crime-suspect-arrested-after-vandalizing-mosque-bacon/021717,,,,,,,,,,,,,,,
25,2/17/2017,First-Ever Tracker Of Hate Crimes Against Asian-Americans Launched,WCAI,Woods Hole,MA,http://capeandislands.org/post/first-ever-tracker-hate-crimes-against-asian-americans-launched,,,,,,,,,,,,,,,
26,2/18/2017,Why Does the Number of US Hate Groups Keep Growing?,Care2.com,Redwood City,CA,http://www.care2.com/causes/why-does-the-number-of-us-hate-groups-keep-growing.html,,,,,,,,,,,,,,,
27,2/20/2017,Documents show physical evidence behind hate crime hoax arrest,Beloit College Round Table,,,http://beloitcollegeroundtable.com/2017/02/20/documents-show-physical-evidence-behind-hate-crime-hoax-arrest/,,,,,,,,,,,,,,,
28,2/20/2017,Vandals damage dozens of headstones at historic Jewish cemetery,myfox8.com,Greensboro,NC,http://myfox8.com/2017/02/21/vandals-damage-dozens-of-headstones-at-historic-jewish-cemetery/,,,,,,,,,,,,,,,
29,2/21/2017,"Vandals damage 100 headstones at Jewish cemetery, police say",Dallasweekly,,,http://www.dallasweekly.com/news/national/article_327b4080-f88d-11e6-901e-af169f6e263b.html,,,,,,,,,,,,,,,
30,2/21/2017,Muslims Are Standing Up For The Jewish Community After Bomb Threats,Huffington Post,New York,NY,http://www.huffingtonpost.com/entry/muslims-jewish-bomb-threats_us_58ac8cc7e4b0e784faa21c40,,,,,,,,,,,,,,,
31,2/21/2017,"Evidence of rising anti-Semitism, but data mostly elusive",The Olympian,Olympia,Washington,http://www.theolympian.com/news/politics-government/national-politics/article134101964.html,,,,,,,,,,,,,,,
32,2/21/2017,9 Investigates why hate crimes aren't being reported to feds,WFTV Orlando,Orlando,FL,http://www.wftv.com/news/9-investigates/9-investigates-why-hate-crimes-arent-being-reported-to-feds/496034469,,,,,,,,,,,,,,,
33,2/21/2017,Police still searching for leads in cemetery vandalism investigation,kplr11.com,St. Louis,MO,http://kplr11.com/2017/02/21/police-still-searching-for-leads-in-cemetery-vandalism-investigation/,,,,,,,,,,,,,,,
34,2/21/2017,Couple Refuses To Remove Racial Slur Graffiti From Home,Opposing Views,Los Angeles,CA,http://www.opposingviews.com/i/society/couple-was-distraught-when-they-discovered-racial-slur-their-garage-door-they-are-refusing,,,,,,,,,,,,,,,
35,2/21/2017,The media ignores anti-Semitism unless it's a tool to target President Trump,Conservative Review,,,https://www.conservativereview.com/commentary/2017/02/the-media-ignores-anti-semitism-unless-it-is-a-tool-to-target-president-trump,,,,,,,,,,,,,,,
36,2/22/2017,2 men sentenced for hate crime attack against Somalis,The Herald,Rock Hill,SC,http://www.heraldonline.com/news/politics-government/national-politics/article134200949.html,,,,,,,,,,,,,,,
37,2/22/2017,Two men face sentencing for Kansas hate crime attack,KWCH,Wichita,KS,http://www.kwch.com/content/news/Two-men-face-sentencing-for-Kansas-hate-crime-attack-414508163.html,,,,,,,,,,,,,,,
38,2/22/2017,2 men face sentencing for Kansas hate crime attack,Washington Post,Washington,DC,https://www.washingtonpost.com/national/2-men-face-sentencing-for-kansas-hate-crime-attack/2017/02/22/95bbcef0-f917-11e6-aa1e-5f735ee31334_story.html,,,,,,,,,,,,,,,
39,2/22/2017,"Bills addressing profiling, hate crimes pushed by Democrats",Lexington Herald Leader,Lexington,KY,http://www.kentucky.com/news/politics-government/national-politics/article134237024.html,,,,,,,,,,,,,,,
40,2/22/2017,"Bills addressing profiling, hate crimes pushed by NC Democrats",13newsnow.com,Norfolk,Virginia,http://www.13newsnow.com/news/local/bills-addressing-profiling-hate-crimes-pushed-by-nc-democrats/412247076,,,,,,,,,,,,,,,
41,2/23/2017,What's Behind the Rash of Anti-Semitic Incidents?,National Review,New York,NY,http://www.nationalreview.com/article/445170/anti-semitic-incidents-united-states-hate-crimes-religion-donald-trump-alt-right-gaza-war,,,,,,,,,,,,,,,
42,2/23/2017,"Stand with Muslim, Jewish groups facing hate crimes",The Daily Herald,Everett,WA,http://www.heraldnet.com/opinion/stand-with-muslim-jewish-groups-facing-hate-crimes/,,,,,,,,,,,,,,,
43,2/23/2017,"Black man awarded $750,000 for Daimler Trucks incidents",Argus Press,Owosso,MI,http://www.argus-press.com/news/state_news/article_e6e90df3-dc8c-572f-934e-3925b7dff9a5.html,,,,,,,,,,,,,,,
44,2/23/2017,Inmate set to plead guilty for hate crime,Butler Eagle,Butler,PA,http://www.butlereagle.com/article/20170223/NEWS02/702239917/-1/news,,,,,,,,,,,,,,,
45,2/23/2017,"Man admits hate crime in rail station attack, gets 3 years",Merced Sun-Star,Merced,CA,http://www.mercedsunstar.com/entertainment/article134443759.html,,,,,,,,,,,,,,,
46,2/23/2017,Some witnesses say Kansas shooting was racially motivated,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Man-arrested-in-Missouri-after-1-killed-2-10953508.php,,,,,,,,,,,,,,,
47,2/23/2017,Helios and Matheson Analytics and Zone Technologies Launch First Real Time Hate Crime Mapping on RedZone Map,Broadway World,New York,NY,http://www.broadwayworld.com/bwwgeeks/article/Helios-and-Matheson-Analytics-and-Zone-Technologies-Launch-First-Real-Time-Hate-Crime-Mapping-on-RedZone-Map-20170223,,,,,,,,,,,,,,,
48,2/23/2017,First-degree murder charge filed in possible hate crime shooting at Olathe's Austins bar,Kansas City Star,Kansas City,MO,http://www.kansascity.com/news/local/crime/article134459444.html,,,,,,,,,,,,,,,
49,2/23/2017,Man Pleads Guilty To Hate Crime Charge In Beating Of Black Man At T Station,CBS Local,New York,New York,http://pittsburgh.cbslocal.com/2017/02/23/ryan-kyle-hate-crime-charge/,,,,,,,,,,,,,,,
50,2/23/2017,Interfaith Coalition Urges: If You See Something Do Something - At Fort Harrison Luncheon,Yahoo Finance,New York,NY,http://finance.yahoo.com/news/interfaith-coalition-urges-see-something-165404546.html,,,,,,,,,,,,,,,
51,2/23/2017,Baldwin man to serve no additional prison time for hate crime beating after Chesney concert,Tribune-Review,Pittsburgh,PA,http://triblive.com/local/allegheny/11980315-74/kyle-beating-lockett,,,,,,,,,,,,,,,
52,2/23/2017,Some witnesses say Kansas shooting was racially motivated - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/34586176/some-witnesses-say-kansas-shooting-was-racially-motivated,,,,,,,,,,,,,,,
53,2/23/2017,Witnesses: Bar gunman shouted 'get out of my country' before shooting 2 Indians at Kansas bar,Allentown Morning Call,Allentown,PA,http://www.mcall.com/news/nationworld/ct-kansas-bar-shooting-20170223-story.html,,,,,,,,,,,,,,,
54,2/23/2017,Administration Urged to Press El Salvador on Protection of Transgender Citizens,Human Rights First,New York,NY,http://www.humanrightsfirst.org/press-release/administration-urged-press-el-salvador-protection-transgender-citizens,,,,,,,,,,,,,,,
55,2/23/2017,Increase in anti-Semitic incidents troubling,Allentown Morning Call,Allentown,PA,http://www.mcall.com/opinion/letters/mc-wall-gillikin-hate-crimes-jews-increase-20170223-story.html,,,,,,,,,,,,,,,
56,2/23/2017,"Cuomo: NY will fight hate crimes, help with school security",WNYT,Albany,NY,http://wnyt.com/politics/cuomo-ny-will-fight-hate-crimes-help-with-school-security/4408709/,,,,,,,,,,,,,,,
57,2/23/2017,College production details reactions to campus hate crime,Carroll County Times,Westminster,MD,http://www.carrollcountytimes.com/news/education/ph-cc-farm-theater-project-20170223-story.html,,,,,,,,,,,,,,,
58,2/23/2017,Police: 'No evidence' Somali native's beating was hate crime,LancasterOnline,Lancaster,PA,http://lancasteronline.com/news/pennsylvania/police-no-evidence-somali-native-s-beating-was-hate-crime/article_80ed1455-8614-5067-961c-7cfb2d41f71f.html,,,,,,,,,,,,,,,
59,2/23/2017,"A Deadly Shooting in A Kansas Bar May Have Been Racially Motivated, Witnesses Say",Yahoo News,Altadena,California,https://www.yahoo.com/news/deadly-shooting-kansas-bar-may-030328500.html,,,,,,,,,,,,,,,
60,2/23/2017,"Police, federal investigators look at hate crime motive in Olath - KMOV.com",KMOV.com,St. Louis,MO,http://www.kmov.com/story/34591081/police-federal-investigators-look-at-hate-crime-motive-in-olathe-restaurant-shooting,,,,,,,,,,,,,,,
61,2/23/2017,Kansas police investigate if deadly bar shooting a hate crime,Las Vegas Review-Journal,Las Vegas,NV,http://www.reviewjournal.com/news/nation-and-world/kansas-police-investigate-if-deadly-bar-shooting-hate-crime,,,,,,,,,,,,,,,
62,2/23/2017,Kansas man charged with killing Indian in possible hate crime,StreetInsider.com,Birmingham,MI,http://www.streetinsider.com/Reuters/Kansas+man+charged+with+killing+Indian+in+possible+hate+crime/12588500.html,,,,,,,,,,,,,,,
63,2/24/2017,"He yelled 'Get out of my country,' witnesses say, and then shot 2 men from India, killing one",The Journal,,,http://www.the-journal.com/article/20170224/AP/302249908/He-yelled-'Get-out-of-my-country'-witnesses-say-and-then-shot-2-men-from-India-killing-one,,,,,,,,,,,,,,,
64,2/24/2017,Kansas shooting: FBI investigating after Indian man killed,WCTI12.com,New Bern,NC,http://www.wcti12.com/news/national/fbi-investigating-kansas-bar-shooting/356584861,,,,,,,,,,,,,,,
65,2/24/2017,Kansas shooting: Widow of Indian man calls for action on hate crimes,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/fbi-investigating-kansas-bar-shooting/662312324,,,,,,,,,,,,,,,
66,2/24/2017,Srinivas Kuchibhotla: US murder possible hate crime,Al Jazeera America,New York,NY,http://www.aljazeera.com/news/2017/02/kansas-city-shooting-investigated-hate-crime-170224063319878.html,,,,,,,,,,,,,,,
67,2/24/2017,FBI Investigates Fatal Shooting as Hate Crime,Abccolumbia.com,Columbia,South Carolina,http://www.abccolumbia.com/2017/02/24/fbi-investigates-fatal-shooting-hate-crime/,,,,,,,,,,,,,,,
68,2/24/2017,Witnesses say deadly Kansas shooting was racially motivated,NewsWest9.com,Midland,TX,http://www.newswest9.com/story/34592400/witnesses-say-deadly-kansas-shooting-was-racially-motivated,,,,,,,,,,,,,,,
69,2/24/2017,Witnesses: Man used slurs before shooting 2 Indians at bar,The Edinburg Review,,,http://www.edinburgreview.com/news/20170224/witnesses-man-used-slurs-before-shooting-2-indians-at-bar,,,,,,,,,,,,,,,
70,2/24/2017,Hate Crime Is Feared as 2 Indian Engineers Are Shot in Kansas,International New York Times,New York,NY,https://www.nytimes.com/2017/02/24/world/asia/kansas-attack-possible-hate-crime-srinivas-kuchibhotla.html,,,,,,,,,,,,,,,
71,2/24/2017,Witnesses: Bar gunman shouted 'get out of my country' - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/34592399/witnesses-bar-gunman-shouted-get-out-of-my-country,,,,,,,,,,,,,,,
72,2/24/2017,Indian man killed in possibly racial shooting at Kansas bar,KCBD-TV,Lubbock,TX,http://www.kcbd.com/story/34592400/indian-man-killed-in-possibly-racial-shooting-at-kansas-bar,,,,,,,,,,,,,,,
73,2/24/2017,Indian man killed in possibly racial shooting at Kansas bar - KOAA.com | Continuous News | Colorado Springs and Pueblo,KOAA.com Colorado Springs and Pueblo News,Colorado Springs,Colorado,http://www.koaa.com/story/34592399/indian-man-killed-in-possibly-racial-shooting-at-kansas-bar,,,,,,,,,,,,,,,
74,2/24/2017,Indian man killed in hate crime in US bar,Yahoo News,Altadena,California,https://in.news.yahoo.com/indian-man-killed-hate-crime-us-bar-100403408.html,,,,,,,,,,,,,,,
75,2/24/2017,Shooting of 2 Indians in Kansas probed as hate crime,Raw Story,Cambridge,MA,http://www.rawstory.com/2017/02/shooting-of-2-indians-in-kansas-probed-as-hate-crime/,,,,,,,,,,,,,,,
76,2/24/2017,Get Out of US': Indian Engineer Killed in Kansas; FBI Joins Probe,Yahoo News,Altadena,California,https://in.news.yahoo.com/us-indian-engineer-killed-kansas-025244252.html,,,,,,,,,,,,,,,
77,2/24/2017,Judge Grants One-Day Delay in Hate Crime Bail Hearing,The People’s Vanguard of Davis,,,http://www.davisvanguard.org/2017/02/judge-grants-one-day-delay-hate-crime-bail-hearing/,,,,,,,,,,,,,,,
78,2/24/2017,Latest: Church went into lockdown after Kansas bar shooting,Laredo Morning Times,Laredo,TX,http://www.lmtonline.com/news/crime/article/The-Latest-Kansas-bar-vows-to-help-after-deadly-10956370.php,,,,,,,,,,,,,,,
79,2/24/2017,Authorities investigating whether Kansas triple shooting that killed one was a hate crime,WBAL Radio,Baltimore,MD,http://www.wbal.com/article/222436/109/authorities-investigating-whether-kansas-triple-shooting-that-killed-one-was-a-hate-crime,,,,,,,,,,,,,,,
80,2/24/2017,The Latest: Doctor says 1 shooting victim doing 'fairly well,Winona Daily News,Winona,MN,http://www.winonadailynews.com/news/national/the-latest-kansas-bar-shooting-survivor-leaves-hospital/article_ff9a12b7-59a8-5c3c-b20b-23fbac83a894.html,,,,,,,,,,,,,,,
81,2/24/2017,College: Feces swastika found in gender-neutral bathroom,The Missoulian,Missoula,MT,http://missoulian.com/news/national/college-feces-swastika-found-in-gender-neutral-bathroom/article_9a43e4b0-e4bc-5b34-baed-df7fa3556b13.html,,,,,,,,,,,,,,,
82,2/24/2017,FBI Investigating Deadly Bar Shootings of Indians as Possible Hate Crime,ticklethewire.com,Washington D.C.,,http://ticklethewire.com/2017/02/24/fbi-investigating-deadly-bar-shootings-indians-possible-hate-crime/,,,,,,,,,,,,,,,
83,2/24/2017,Jesus statue decapitated. Congregation wants head back.,Charlotte Observer,Charlotte,NC,http://www.charlotteobserver.com/living/religion/article134707389.html,,,,,,,,,,,,,,,
84,2/24/2017,The new weapon against hate crime,KTXS,Abilene,TX,http://www.ktxs.com/news/national/the-new-weapon-against-hate-crime/357308557,,,,,,,,,,,,,,,
85,2/24/2017,Indian engineer shot dead in possible hate crime at Kansas City bar,Bemidji Pioneer,Bemidji,MN,http://www.bemidjipioneer.com/news/4224223-indian-engineer-shot-dead-possible-hate-crime-kansas-city-bar,,,,,,,,,,,,,,,
86,2/24/2017,Kansas man charged with killing Indian engineer in possible hate crime,WDAZ,Grand Forks,ND,http://www.wdaz.com/news/4224223-kansas-man-charged-killing-indian-engineer-possible-hate-crime,,,,,,,,,,,,,,,
87,2/24/2017,"I appeal to all the parents in India not to send their children' to the US, distraught father says after shooting",Washington Post,Washington,DC,https://www.washingtonpost.com/news/worldviews/wp/2017/02/24/i-appeal-to-all-the-parents-in-india-not-to-send-their-children-to-the-united-states-distraught-father-says-after-shooting/,,,,,,,,,,,,,,,
88,2/24/2017,Distraught Indian father warns warns parents against sending children to US after shooting,Albuquerque Journal,Albuquerque,NM,https://www.abqjournal.com/956724/distraught-indian-father-warns-warns-parents-against-sending-children-to-u-s-after-shooting.html,,,,,,,,,,,,,,,
89,2/24/2017,Witnesses say fatal bar shooting seemed racially motivated,KRGV,Weslaco,TX,http://www.krgv.com/story/34592399/witnesses-say-fatal-bar-shooting-seemed-racially-motivated,,,,,,,,,,,,,,,
90,2/24/2017,Witnesses: Bar gunman shouted 'get out of my country',Beckley Register-Herald,Beckley,WV,http://www.register-herald.com/region/witnesses-say-fatal-bar-shooting-seemed-racially-motivated/article_a3015b40-5f3a-55f8-b953-244d07c5dc30.html,,,,,,,,,,,,,,,
91,2/24/2017,Fire at Florida mosque being investigated as arson,KGO-TV,San Francisco,CA,http://abc7news.com/news/fire-at-florida-mosque-being-investigated-as-arson/1771157/,,,,,,,,,,,,,,,
92,2/24/2017,Family of man killed in possible hate crime shooting speaks out,Kittson County Enterprise,Hallock,MN,http://www.kittsonarea.com/syndicated_post/family-of-man-killed-in-possible-hate-crime-shooting-speaks-out/,,,,,,,,,,,,,,,
93,2/24/2017,"Indian Engineer shot dead in US, Shooter yells 'get out of my Country'",http://www.newsgram.com/,,,http://www.newsgram.com/indian-engineer-shot-dead-in-us-shooter-yells-get-out-of-my-country/,,,,,,,,,,,,,,,
94,2/24/2017,Suspect In Kansas Shooting Faces Possible Hate Crime Charges,WBAA,West Lafayette,Indiana,http://wbaa.org/post/suspect-kansas-shooting-faces-possible-hate-crime-charges,,,,,,,,,,,,,,,
95,2/24/2017,Feds Probe Kansas Shooting As Possible Hate Crime,Newsy,Columbia,MS,http://www.newsy.com/stories/fbi-investigates-possible-hate-crime-shooting-in-olathe-ks/,,,,,,,,,,,,,,,
96,2/24/2017,Kansas shooting raises safety concerns for foreigners in US: 'Do we belong here?',The Guardian,,,https://www.theguardian.com/us-news/2017/feb/24/kansas-bar-shooting-indian-hate-crime,,,,,,,,,,,,,,,
97,2/24/2017,"Idaho locker room attacker gets probation after judge calls the case ""bullying.""",6 On Your Side,Boise,ID,http://www.kivitv.com/news/national/idaho-locker-room-attacker-gets-probation-after-judge-calls-the-case-bullying,,,,,,,,,,,,,,,
98,2/24/2017,Cuomo unveils hate crime text line,Catskill Daily Mail,Catskill,NY,http://www.thedailymail.net/news/article_7312cf1e-fb12-11e6-834c-4bd32d25a105.html,,,,,,,,,,,,,,,
99,2/25/2017,Victim says alleged shooter at Kansas City area bar asked about visas,KSPR,Springfield,MO,http://www.kspr.com/content/news/414781183.html,,,,,,,,,,,,,,,
100,2/25/2017,Investigators Are Looking Into The Shooting Death Of An Indian Man In Kansas As A Hate Crime,UPROXX,Nashville,Tennessee,http://uproxx.com/news/kansas-shooting-investigated-as-hate-crime/,,,,,,,,,,,,,,,
101,2/25/2017,Krishnamoorthi condemns hate crime shooting in Kansas,St. Paul Asian American Press,St. Paul,MN,http://aapress.com/government/krishnamoorthi-condemns-hate-crime-shooting-in-kansas/,,,,,,,,,,,,,,,
102,2/25/2017,The Latest: Kansas bar reopens 3 days after deadly shooting,WBKO,Bowling Green,KY,http://www.wbko.com/content/news/The-Latest-Kansas-bar-reopens-3-days-after-deadly-shooting-414788843.html,,,,,,,,,,,,,,,
103,2/25/2017,Latest: Donations top $1M for Kansas bar attack victims,Grand Island Independent,Grand Island,NE,http://www.theindependent.com/news/national/the-latest-kansas-bar-reopens-days-after-deadly-shooting/article_a45e6018-16cb-59f7-ab80-2d8ab0956d5e.html,,,,,,,,,,,,,,,
104,2/25/2017,"Neighbor: Bar attack suspect a 'drunken mess,' not political",Greensboro News & Record,Greensboro,NC,http://www.greensboro.com/ap/us_world/neighbor-bar-attack-suspect-a-drunken-mess-not-political/article_a625cc8b-8c1d-5f66-896a-7fcbaecc7ef1.html,,,,,,,,,,,,,,,
105,2/25/2017,"Neighbor: Bar attack suspect a 'drunken mess,' not political - KSBY.com | San Luis Obispo and Santa Barbara Area News",KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34602913/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,,,,,,,,,,,,,,
106,2/25/2017,"Neighbor: Bar attack suspect a 'drunken mess,' not political - KATC.com | Continuous News Coverage | Acadiana-Lafayette",KATC Lafayette News,Lafayette,LA,http://www.katc.com/story/34602913/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,,,,,,,,,,,,,,
107,2/25/2017,"Neighbor: Bar attack suspect a 'drunken mess,' not political - WBOC-TV 16, Delmarvas News Leader, FOX 21 -",WBOC TV 16,Salisbury,MD,http://www.wboc.com/story/34606645/neighbor-bar-attack-suspect-a-drunken-mess-not-political,,,,,,,,,,,,,,,
108,2/25/2017,"Neighbor: Kansas bar attack suspect a 'drunken mess,' not political",WBAL Baltimore,Baltimore,MD,http://www.wbaltv.com/article/neighbor-bar-attack-suspect-a-drunken-mess-not-political/8980418,,,,,,,,,,,,,,,
109,2/26/2017,Kansas bar shooting: GoFundMe campaign crosses $1 million,The American Bazaar,Washington,DC,https://www.americanbazaaronline.com/2017/02/27/kansas-bar-shooting-gofundme-campaign-crosses-1-million/,,,,,,,,,,,,,,,
110,2/27/2017,"Deadly Kansas shooting: A senseless crime and a friend lost - KRTV.com | Great Falls, Montana",KRTV Great Falls News,Great Falls,MT,http://www.krtv.com/story/34610864/deadly-kansas-shooting-a-senseless-crime-and-a-friend-lost,,,,,,,,,,,,,,,
111,2/27/2017,"Va. man charged with hate crime after using Muslim slurs, biting victim's face, police say",Washington Post,Washington,DC,https://www.washingtonpost.com/local/public-safety/va-man-charged-with-hate-crime-after-using-muslim-slurs-biting-victims-face-police-say/2017/02/27/8524182a-c819-4c4a-8131-7f93766eeb5e_story.html,,,,,,,,,,,,,,,
112,2/27/2017,The Latest: Suspect in bar attack wears jail 'safety smock',The Herald,Rock Hill,SC,http://www.heraldonline.com/news/nation-world/national/article135204329.html,,,,,,,,,,,,,,,
113,2/27/2017,911 Call: Alleged Bar Shooter Said He'd Killed 'Iranians',NBC4 Washington,Washington,DC,http://www.nbcwashington.com/news/national-international/Deadly-Kansas-Bar-Shooting-Vigil-Hearing-414869553.html?akmobile=o,,,,,,,,,,,,,,,
114,2/27/2017,"Clinton: Trump must speak out against hate crimes, threats",The Hill,Washington,DC,http://thehill.com/blogs/blog-briefing-room/news/321356-clinton-trump-must-speak-out-against-hate-crimes-threats,,,,,,,,,,,,,,,
115,2/27/2017,"Los Angeles area church graffiti investigated as hate crime - KTVN Channel 2 - Reno Tahoe Sparks News, Weather, Video",KTVN,Reno,NV,http://www.ktvn.com/story/34615547/los-angeles-area-church-graffiti-investigated-as-hate-crime,,,,,,,,,,,,,,,
116,2/27/2017,"In India, People React To Killing Of IT Worker In Apparent Hate Crime",WEMU,Ypsilanti,MI,http://wemu.org/post/india-people-react-killing-it-worker-apparent-hate-crime,,,,,,,,,,,,,,,
117,2/27/2017,K-State leader encourages support of international students,Topeka Capital Journal,Topeka,KS,http://cjonline.com/news/local/2017-02-27/k-state-leader-encourages-support-international-students,,,,,,,,,,,,,,,
118,2/27/2017,Woman found fatally shot in Prince George's County,Washington Post,Washington,DC,https://www.washingtonpost.com/local/woman-found-fatally-shot-in-prince-georges-county/2017/02/27/ee113880-fd34-11e6-99b4-9e613afeb09f_story.html,,,,,,,,,,,,,,,
119,2/27/2017,Indiana hate crime bill dies in the Legislature - again,Miami Herald,Miami,FL,http://www.miamiherald.com/news/politics-government/national-politics/article135330294.html,,,,,,,,,,,,,,,
