Incident number,Date,Title,Organization,City,State,URL,Hate Incident,New Incident,Day of Incident,Month of Incident,Year of Incident,Violent,Num Victims,Num Perp,Num Deaths,Issue Identity,Incident City,Incident State,Incident Type,Inc Intensity,Notes
4378,8/26/2017,"Santa Rosa toddler, mother struck in attack under investigation as possible hate crime",Santa Rosa Press Democrat,Santa Rosa,CA,http://www.pressdemocrat.com/news/7349605-181/santa-rosa-toddler-mother-struck,1,1,25,8,17,1,2,2,0,Race,Santa Rosa,California,assault,3,
4379,8/26/2017,Man suffers broken jaw in possible anti-gay hate crime attack in Bedford-Stuyvesant,New York's PIX11 / WPIX-TV,New York City,New York,http://pix11.com/2017/08/26/man-suffers-broken-jaw-in-possible-anti-gay-hate-crime-attack-in-bedford-stuyvesant/,1,0,na,na,17,0,1,1,0,LGBT,Rosendale,New York,Letters,2,
4380,8/26/2017,Man's Jaw Fractured in Possible Anti-Gay Hate Crime: NYPD,newyorknewsinfo.com,Newark,NJ,http://newyorknewsinfo.com/mans-jaw-fractured-in-possible-anti-gay-hate-crime-nypd/,1,0,na,na,17,0,1,1,0,LGBT,Rosendale,New York,Letters,2,
4381,8/27/2017,West Sacramento House Vandalized With Hate Symbols And Racist Messages,CBS Sacramento,,,http://sacramento.cbslocal.com/2017/08/27/west-sacramento-house-vandalized-with-hate-symbols-and-racist-messages/,1,1,25,8,17,0,na,1,0,Race/Religion,Sacramento ,California,Vandalism,1,
4382,8/27/2017,Our Opinion: Legislature should address hate crimes,South Bend Tribune,South Bend,IN,http://www.southbendtribune.com/news/opinion/our_opinion/our-opinion-legislature-should-address-hate-crimes/article_d1c8825b-84a8-5527-bf4c-a687b1c8478d.html,0,na,na,na,na,na,na,na,na,na,na,na,opinion,na,
4383,8/27/2017,A victim might need surgery after a possible hate crime in New York,LGBTQ Nation,Phoenix,AZ,https://www.lgbtqnation.com/2017/08/victim-might-need-surgery-possible-hate-crime-new-york/,1,1,26,8,17,1,1,1,0,LGBT,New York City ,New York,assault,3,
4384,8/27/2017,Family covers up symbol of hate in Sioux Falls park,West Plains Daily Quill,West Plains,MO,https://www.westplainsdailyquill.net/national_news/article_f9ce2bb6-c3fc-5dca-aeef-2bd5bdd63384.html,1,0,13,8,17,0,na,1,0,Race/Religion/LGBT,Souix Falls,South Dakota,Vandalism,1,
4385,8/27/2017,"Man Suffers Broken Jaw In Possible Anti-Gay Hate Crime, Police Say",Gothamist,New York,New York,http://gothamist.com/2017/08/27/police_are_searching_for_a_1.php,1,1,26,8,17,1,1,1,0,LGBT,New York City ,New York,assault,3,
4386,8/27/2017,Daniel Borden Charged In The Charlottesville Beating Of Deandre Harris,Vibe,New York,NY,https://www.vibe.com/2017/08/daniel-borden-charlottesville-beating-deandre-harris/,1,0,12,8,17,1,1,1,0,Race,Charlottesville ,Virginia,assault,3,
4387,8/27/2017,Attorneys seek Agency of Education records for teacher accused of hate crime,Bennington Banner,Bennington,VT,"http://www.benningtonbanner.com/stories/attorneys-seek-agency-of-education-records-for-teacher-accused-of-hate-crime,517793",1,0,na,na,2016,1,1,1,0,Race,Bennington,Vermont,Assault,3,
4388,8/27/2017,West Sacramento House Vandalized With Hate Symbols And Racist Messages,CBS Sacramento,,,http://sacramento.cbslocal.com/2017/08/27/west-sacramento-house-vandalized-with-hate-symbols-and-racist-messages/,1,1,25,8,17,0,na,1,0,Race/Religion,Sacramento ,California,Vandalism,1,
4389,8/27/2017,Our Opinion: Legislature should address hate crimes,South Bend Tribune,South Bend,IN,http://www.southbendtribune.com/news/opinion/our_opinion/our-opinion-legislature-should-address-hate-crimes/article_d1c8825b-84a8-5527-bf4c-a687b1c8478d.html,0,na,na,na,na,na,na,na,na,na,na,na,opinion,na,
4390,8/27/2017,A victim might need surgery after a possible hate crime in New York,LGBTQ Nation,Phoenix,AZ,https://www.lgbtqnation.com/2017/08/victim-might-need-surgery-possible-hate-crime-new-york/,1,1,26,8,17,1,1,1,0,LGBT,New York City ,New York,assault,3,
4391,8/27/2017,Family covers up symbol of hate in Sioux Falls park,West Plains Daily Quill,West Plains,MO,https://www.westplainsdailyquill.net/national_news/article_f9ce2bb6-c3fc-5dca-aeef-2bd5bdd63384.html,1,0,13,8,17,0,na,1,0,Race/Religion/LGBT,Souix Falls,South Dakota,Vandalism,1,
4392,8/27/2017,"Man Suffers Broken Jaw In Possible Anti-Gay Hate Crime, Police Say",Gothamist,New York,New York,http://gothamist.com/2017/08/27/police_are_searching_for_a_1.php,1,1,26,8,17,1,1,1,0,LGBT,New York City ,New York,assault,3,
4393,8/27/2017,Daniel Borden Charged In The Charlottesville Beating Of Deandre Harris,Vibe,New York,NY,https://www.vibe.com/2017/08/daniel-borden-charlottesville-beating-deandre-harris/,1,0,12,8,17,1,1,1,0,Race,Charlottesville ,Virginia,assault,3,
4394,8/27/2017,Attorneys seek Agency of Education records for teacher accused of hate crime,Bennington Banner,Bennington,VT,"http://www.benningtonbanner.com/stories/attorneys-seek-agency-of-education-records-for-teacher-accused-of-hate-crime,517793",1,0,na,na,2016,1,1,1,0,Race,Bennington,Vermont,Assault,3,
4395,8/28/2017,“Erasing the hate” event aims to turn Facebook activists into real-life ones,Fox 59,Indianapolis,IN,http://fox59.com/2017/08/28/erasing-the-hate-event-aims-to-turn-facebook-activists-into-real-life-ones/,0,na,na,na,na,na,na,na,na,na,na,na,tech,na,
4396,8/28/2017,San Francisco's American Jewish Committee and Trump derangement syndrome,JNS.org,Allston,MA,http://www.jns.org/latest-articles/2017/8/28/san-franciscos-american-jewish-committee-and-trump-derangement-syndrome,0,na,na,na,na,na,na,na,na,na,na,na,policy,na,
4397,8/28/2017,"Attacker Screams Anti-Gay Slurs And Breaks Man's Jaw, Police Say",Patch.com,New York,,https://patch.com/new-york/bed-stuy/attacker-screams-anti-gay-slurs-breaks-mans-jaw-police-say,1,1,26,8,17,1,1,1,0,LGBT,New York City ,New York,assault,3,
4398,8/28/2017,We're not even Muslims': Hindu family attacked by confused racists — who can't even spell,Raw Story,Cambridge,MA,http://www.rawstory.com/2017/08/were-not-even-muslims-hindu-family-attacked-by-confused-racists-who-cant-even-spell/,0,na,na,na,na,na,na,na,na,na,na,na,international,na,
4399,8/28/2017,Charlottesville: What You Can Do Now,The Gazette,Goose Creek,South Carolina,http://www.ourgazette.com/opinion/charlottesville-what-you-can-do-now/article_5155d046-8c1d-11e7-b74a-9f52ecc8ea4e.html,0,na,na,na,na,na,na,na,na,na,na,na,opinion,na,
4400,8/28/2017,Attacks Against Gay Men Are the Most Common Hate Crimes in New York City,Unicorn Booty,Seattle,WA,https://unicornbooty.com/hate-crimes-new-york-city/,0,na,na,na,na,na,na,na,na,na,na,na,statistic,na,
4401,8/28/2017,Children's Center for the Visually Impaired names new garden in memory of woman killed in senseless hate crime,fox4kc.com,Kansas City,Missouri,http://fox4kc.com/2017/08/28/childrens-center-for-the-visually-impaired-names-new-garden-in-memory-of-woman-killed-in-senseless-hate-crime/,0,na,na,na,na,na,na,na,na,na,na,na,story,na,
