Date,Title,Organization,City,State,URL,Keyword,Summary
7/18/2018 0:00,Ohio Conducts Its First Execution in 2018,Crime Report,New York,NY,https://thecrimereport.org/2018/07/18/ohio-conducts-its-first-execution-in-2018/,california cincinnati clemency columbus david dispatch enmeshed execution homophobe homosexual hook ohio robert unconsciousness van california cincinnati clemency columbus david dispatch enmeshed execution homophobe homosexual hook ohio robert unconsciousness van california cincinnati clemency columbus david dispatch enmeshed execution homophobe homosexual hook ohio robert unconsciousness van california cincinnati clemency columbus david dispatch enmeshed execution homophobe homosexual hook ohio robert unconsciousness van california cincinnati clemency columbus david dispatch enmeshed execution homophobe homosexual hook ohio robert unconsciousness van,"Convicted of the horrific murder of a Cincinnati man, Robert Van Hook died by lethal injection on Wednesday in Ohio's first execution in more than 10 months, the Columbus Dispatch reports. Van Hook, 58, served a violence-plagued 32 years in prison after a"
7/18/2018 0:00,Viral Video Of Homophobic Threats Prompts Police Investigation In Portland,Oxygen,,,https://www.oxygen.com/crime-time/wendy-dragoon-trudy-dragoon-video-captures-homophobic-verbal-assault-portland-police-investigation,dragoon dragoons homophobic katu live officer oregon police portland trudy video viral wendy dragoon dragoons homophobic katu live officer oregon police portland trudy video viral wendy dragoon dragoons homophobic katu live officer oregon police portland trudy video viral wendy dragoon dragoons homophobic katu live officer oregon police portland trudy video viral wendy,"An investigation has been opened into a homophobic verbal assault caught on video in Portland, Oregon. The victims say police did nothing to intervene.      A video of a homophobic verbal assault on a gay couple in Portland, Oregon has gone viral, prompting"
7/18/2018 0:00,LA County pushes back against hate crimes,theavtimes.com,Pasadena,CA,http://theavtimes.com/2018/07/18/l-a-county-pushes-back-against-hate-crimes/,null,null
7/18/2018 0:00,"$36,000 reward for suspect who burned 3 Jehovah's Witnesses churches in Thurston County",Q13 FOX,Seattle,WA,https://q13fox.com/2018/07/18/36000-reward-for-suspect-who-attacked-3-kingdom-halls-in-thurston-county/,arsons atf hall halls jehovah kingdom norman olympia police suspect thurston tumwater witnesses yelm,"""It is inevitable that innocent people will be injured or killed if these incidents go unchecked.""    OLYMPIA, Wash. -- Four recent attacks on Kingdom Halls of Jehovah's Witnesses in Thurston County are being investigated as hate crimes. Over the past four"
7/18/2018 0:00,Why Don't 71% Of New Yorkers Report Religion-Based Discrimination?,Oxygen,,,https://www.oxygen.com/very-real/why-dont-71-new-yorkers-report-religion-based-discrimination,black bronx clothing commission discrimination hate human jewish muslim nyc religious respondents robbins sikh york black bronx clothing commission discrimination hate human jewish muslim nyc religious respondents robbins sikh york black bronx clothing commission discrimination hate human jewish muslim nyc religious respondents robbins sikh york,The new survey from the NYC Commission on Human Rights also shows Black Muslim women in the Bronx are at a higher risk of being physically assaulted.       In a survey carried out by the NYC Commission on Human Rights that measured racial and religious
7/18/2018 0:00,Here's Why Ethnic Intimidation Is A Rare Charge In Cases Targeting African Americans,News One,New York,NY,https://newsone.com/3817831/ethnic-intimidation-hate-crimes-charges/,africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump africa black blade case charges criminal e3xfoeduqs edelen ethnic grattifi hail idmus5wvbr intimidation morning ohio pennsylvania race toledo trump,"everal states have hate crimes laws, but specific statutes are not always used in race-related cases in many places. Ethnic intimidation — the legal term used to describe menacing or harassment acts based on a person's race, religion or national origin"
7/18/2018 0:00,Vicious Beating Of Muslim Man Is Being Investigated As Hate Crime,HuffPost,New York,NY,https://www.huffingtonpost.com/entry/muslim-man-attacked-hate-crime_us_5b4f6151e4b0fd5c73c14f8a,abu attar canada community corhamzic crime family hate hindy huffpost marzouk mississauga muslim police abu attar canada community corhamzic crime family hate hindy huffpost marzouk mississauga muslim police abu attar canada community corhamzic crime family hate hindy huffpost marzouk mississauga muslim police abu attar canada community corhamzic crime family hate hindy huffpost marzouk mississauga muslim police abu attar canada community corhamzic crime family hate hindy huffpost marzouk mississauga muslim police,"What began as a picnic in the park quickly escalated into what police are now investigating as a hate crime attack when a Canadian Muslim man was reportedly called a terrorist and beaten viciously in front of his family.       Muhammed Abu Marzouk; his wife,"
7/18/2018 0:00,Fat Mexicans!': White Sisters Arrested After Shown Attacking Latina Mother And Daughter On Video,Oxygen,,,https://www.oxygen.com/very-real/fat-mexicans-white-sisters-arrested-caught-assaulting-latina-mother-daughter-video-fross,arrested attacked carlos city colorado commerce denver facebook fat fross oxygen ruiz screams sister sisters video arrested attacked carlos city colorado commerce denver facebook fat fross oxygen ruiz screams sister sisters video arrested attacked carlos city colorado commerce denver facebook fat fross oxygen ruiz screams sister sisters video arrested attacked carlos city colorado commerce denver facebook fat fross oxygen ruiz screams sister sisters video,"Two white sisters who apparently attacked a Hispanic woman and her mother in Commerce City, Colorado in a video that went viral last week were arrested and are facing charges of biased-motivated crime, third-degree assault, and third-degree criminal"
7/19/2018 0:00,Hayden man arrested for hate crime following fight with youth pastor,KHQ Right Now,Spokane,WA,http://www.khq.com/story/38686843/hayden-man-arrested-for-hate-crime-following-fight-with-youth-pastor,alene argument building ceniceros coeur documents fight hayden idaho malicious mcdonald police quezalcoatl richard sovenski yelling youth alene argument building ceniceros coeur documents fight hayden idaho malicious mcdonald police quezalcoatl richard sovenski yelling youth alene argument building ceniceros coeur documents fight hayden idaho malicious mcdonald police quezalcoatl richard sovenski yelling youth alene argument building ceniceros coeur documents fight hayden idaho malicious mcdonald police quezalcoatl richard sovenski yelling youth alene argument building ceniceros coeur documents fight hayden idaho malicious mcdonald police quezalcoatl richard sovenski yelling youth,"On July 12, officers responded to a large fight at a Coeur d'Alene McDonald's. Court documents say a Hayden man was charged with battery and malicious harassment, which is considered a hate crime in Idaho, following an investigation by police.        When"
7/19/2018 0:00,Canadian police investigate beating as hate crime,WDIV ClickOnDetroit,Detroit,MI,https://www.clickondetroit.com/news/international/canadian-police-investigate-beating-as-hate-crime,assault attar canada cbc cnn hate husband marzouk men mississauga peel police regional two yucel,"(CNN) - Two brothers from Ontario who allegedly assaulted several people, including one man who reportedly remains in intensive care, are the subjects of a hate crime investigation, Canadian police said Wednesday.       On Sunday night, police in the city of"
7/19/2018 0:00,Canadian police investigate beating of Muslim man as hate crime,CNN International,,,https://www.cnn.com/2018/07/19/americas/ontario-canada-men-arrested-hate-crime-investigation/index.html,assault attar canada cbc cnn hate marzouk men mississauga ontario peel police regional yucel assault attar canada cbc cnn hate marzouk men mississauga ontario peel police regional yucel,"(CNN)       Two brothers from Ontario who allegedly assaulted several people, including one man who reportedly remains in intensive care, are the subjects of a hate crime investigation, Canadian police said Wednesday.   On Sunday night, police in the city of"
7/19/2018 0:00,UK police 'let down' gay community as hate crimes soar,Reuters,,,https://www.reuters.com/article/us-britain-crime-lgbt/uk-police-let-down-gay-community-as-hate-crimes-soar-idUSKBN1K92JB,constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams constabulary crime crimes england foundation gay hate hmicfrs incidents lgbt police thomson transgender victims welsh williams,"LONDON (Thomson Reuters Foundation) - Hate crimes against the gay community are rising rapidly in England and Wales but victims are often “let down” by the police, a watchdog said in a landmark report on Thursday. Homophobic crimes rose by about 50"
7/19/2018 0:00,Why Pride Still Matters,ourlivesmadison.com,Madison,WI,https://ourlivesmadison.com/article/why-pride-still-matters/,null,null
7/19/2018 0:00,Idaho Man Seen In Viral Video Yelling Racial Slurs At Teenagers On Church Youth Outing Charged With Hate Crime,The Inquisitr,Tampa,Florida,https://www.inquisitr.com/4992919/idaho-man-seen-in-viral-video-yelling-racial-slurs-at-teenagers-on-church-youth-outing-charged-with-hate-crime/,alene captain ceniceros church coeur hate idaho immanuel inlander kin mcdonald racial slurs sovenski video alene captain ceniceros church coeur hate idaho immanuel inlander kin mcdonald racial slurs sovenski video alene captain ceniceros church coeur hate idaho immanuel inlander kin mcdonald racial slurs sovenski video alene captain ceniceros church coeur hate idaho immanuel inlander kin mcdonald racial slurs sovenski video,"Richard Sovenski, 52, of Hayden, Idaho, has been arrested and charged for a hate crime caught on video at a McDonald's in Coeur d'Alene on July 12. In the video, Sovenski is hurling racial slurs a group of teenagers from Spokane that were on an outing"
7/19/2018 0:00,Man Screams 'Half-Breed' at Youth Group Outside McDonald's: 'Get the F*** out of Idaho',Newsweek,,,https://www.newsweek.com/hate-crime-idaho-mcdonalds-youth-group-hate-crime-rant-video-richard-sovenski-1033462,alene breeds ceniceros coeur idaho inlander jose kin mcdonald richard sovenski spokane youth alene breeds ceniceros coeur idaho inlander jose kin mcdonald richard sovenski spokane youth alene breeds ceniceros coeur idaho inlander jose kin mcdonald richard sovenski spokane youth alene breeds ceniceros coeur idaho inlander jose kin mcdonald richard sovenski spokane youth,"An Idaho man was arrested after launching into a homophobic, racist rant directed toward several church youth group kids who his associate claimed were rude to him inside a McDonald's.    Coeur d'Alene, Idaho, police told Inlander that Richard Sovenski, 52,"
